text,label
"I love this product!",p
"This is the worst experience I've ever had.",n
"Absolutely fantastic service.",p
"I am very disappointed with the quality.",n
"Great value for money.",p
"Not worth the price.",n
"Excellent customer support.",p
"The item broke after one use.",n
"I highly recommend this to everyone.",p
"Terrible, would not buy again.",n
"Excellent product, I love it!",p
"Not satisfied with the service.",n
"Superior quality, very satisfied.",p
"Terrible experience, I will not return.",n
"Very useful and convenient.",p
"Did not work as expected.",n
"Very courteous and helpful staff.",p
"Defective product, very disappointed.",n
"Highly recommended!",p
"Not worth the money spent.",n
"Fantastic, super happy!",p
"I will never buy from here again.",n
"Exceptional customer service.",p
"Poor quality, not recommended.",n
"Very satisfied with the purchase.",p
"Did not meet my expectations.",n
"High quality product.",p
"Terrible experience, I will not return.",n
"Very useful and well made.",p
"Does not work properly.",n
"Very kind and helpful staff.",p
"Product broken on arrival.",n
"Highly recommended!",p
"Not worth the price paid.",n
"Fantastic, very satisfied!",p
"I will never buy from this store again.",n
"Fantastic customer service.",p
"Very low quality, not recommended.",n
"Very happy with the purchase.",p
"Did not meet my expectations.",n
"Excellent product, very satisfied.",p
"Terrible experience, I will not return.",n
"Very useful and convenient.",p
"Did not work as expected.",n
"Very courteous and helpful staff.",p
"Defective product, very disappointed.",n
"Highly recommended!",p
"Not worth the money spent.",n
"Fantastic, super happy!",p
"I will never buy from here again.",n
"Exceptional customer service.",p
"Poor quality, not recommended.",n
"Very satisfied with the purchase.",p
"Did not meet my expectations.",n
"High quality product.",p
"Terrible experience, I will not return.",n
"Very useful and well made.",p
"Does not work properly.",n
"Very kind and helpful staff.",p
"Product broken on arrival.",n
"Highly recommended!",p
"Not worth the price paid.",n
"Fantastic, very satisfied!",p
"I will never buy from this store again.",n
"Fantastic customer service.",p
"Very low quality, not recommended.",n
"Very happy with the purchase.",p
"Did not meet my expectations.",n
"Excellent product, very satisfied.",p
"Terrible experience, I will not return.",n
"Very useful and convenient.",p
"Did not work as expected.",n
"Very courteous and helpful staff.",p
"Defective product, very disappointed.",n
"Highly recommended!",p
"Not worth the money spent.",n
"Fantastic, super happy!",p
"I will never buy from here again.",n
"Exceptional customer service.",p
"Poor quality, not recommended.",n
"Very satisfied with the purchase.",p
"Did not meet my expectations.",n
"High quality product.",p
"Terrible experience, I will not return.",n
"Very useful and well made.",p
"Does not work properly.",n
"Very kind and helpful staff.",p
"Product broken on arrival.",n
"Highly recommended!",p
"Not worth the price paid.",n
"Fantastic, very satisfied!",p
"I will never buy from this store again.",n
"Fantastic customer service.",p
"Very low quality, not recommended.",n
"Very happy with the purchase.",p
"Did not meet my expectations.",n
"Excellent product, I love it!",p
"Not satisfied with the service.",n
"Superior quality, very satisfied.",p
"Terrible experience, I will not return.",n
"Very useful and convenient.",p
"Did not work as expected.",n
"Very courteous and helpful staff.",p
"Defective product, very disappointed.",n
"Highly recommended!",p
"Not worth the money spent.",n
"Fantastic, super happy!",p
"I will never buy from here again.",n
"Exceptional customer service.",p
"Poor quality, not recommended.",n
"Very satisfied with the purchase.",p
"Did not meet my expectations.",n
"High quality product.",p
"Terrible experience, I will not return.",n
"Very useful and well made.",p
"Does not work properly.",n
"Very kind and helpful staff.",p
"Product broken on arrival.",n
"Highly recommended!",p
"Not worth the price paid.",n
"Fantastic, very satisfied!",p
"I will never buy from this store again.",n
"Fantastic customer service.",p
"Very low quality, not recommended.",n
"Very happy with the purchase.",p
"Did not meet my expectations.",n
"Excellent product, very satisfied.",p
"Terrible experience, I will not return.",n
"Very useful and convenient.",p
"Did not work as expected.",n
"Very courteous and helpful staff.",p
"Defective product, very disappointed.",n
"Highly recommended!",p
"Not worth the money spent.",n
"Fantastic, super happy!",p
"I will never buy from here again.",n
"Exceptional customer service.",p
"Poor quality, not recommended.",n
"Very satisfied with the purchase.",p
"Did not meet my expectations.",n
"High quality product.",p
"Terrible experience, I will not return.",n
"Very useful and well made.",p
"Does not work properly.",n
"Very kind and helpful staff.",p
"Product broken on arrival.",n
"Highly recommended!",p
"Not worth the price paid.",n
"Fantastic, very satisfied!",p
"I will never buy from this store again.",n
"Fantastic customer service.",p
"Very low quality, not recommended.",n
"Very happy with the purchase.",p
"Did not meet my expectations.",n
"Excellent product, I love it!",p
"Not satisfied with the service.",n
"Superior quality, very satisfied.",p
"Terrible experience, I will not return.",n
"Very useful and convenient.",p
"Did not work as expected.",n
"Very courteous and helpful staff.",p
"Defective product, very disappointed.",n
"Highly recommended!",p
"Not worth the money spent.",n
"Fantastic, super happy!",p
"I will never buy from here again.",n
"Exceptional customer service.",p
"Poor quality, not recommended.",n
"Very satisfied with the purchase.",p
"Did not meet my expectations.",n
"High quality product.",p
"Terrible experience, I will not return.",n
"Very useful and well made.",p
"Does not work properly.",n
"Very kind and helpful staff.",p
"Product broken on arrival.",n
"Highly recommended!",p
"Not worth the price paid.",n
"Fantastic, very satisfied!",p
"I will never buy from this store again.",n
"Fantastic customer service.",p
"Very low quality, not recommended.",n
"Very happy with the purchase.",p
"Did not meet my expectations.",n
"Excellent product, very satisfied.",p
"Terrible experience, I will not return.",n
"Very useful and convenient.",p
"Did not work as expected.",n
"Very courteous and helpful staff.",p
"Defective product, very disappointed.",n
"Highly recommended!",p
"Not worth the money spent.",n
"Fantastic, super happy!",p
"I will never buy from here again.",n
"Exceptional customer service.",p
"Poor quality, not recommended.",n
"my head hurts",n
"i'm studying",p
"today is sunny",p
